Year,Date,CPI component,pct_change
1988,1988-01-01,Cpi index 00: all items,48.6
1988,1988-01-01,Food,48.4
1988,1988-01-01,Non-alcoholic beverages,45.9
1988,1988-01-01,Alcoholic beverages,54.7
1988,1988-01-01,Tobacco,16.3
1988,1988-01-01,Clothing,202.7
1988,1988-01-01,Footwear including repairs,154.4
1988,1988-01-01,Actual rents for housing,31.2
1988,1988-01-01,Regular maintenance and repair of the dwelling,39.8
1988,1988-01-01,Water supply and misc. services for the dwelling,21.6
1988,1988-01-01,"Electricity, gas and other fuels",29.2
1988,1988-01-01,"Furniture, furnishings and carpets",62.9
1988,1988-01-01,Household textiles,121
1988,1988-01-01,"Household appliances, fitting and repairs",108.4
1988,1988-01-01,"Glassware, tableware and household utensils",81.8
1988,1988-01-01,Tools and equipment for house and garden,69.7
1988,1988-01-01,Goods and services for routine maintenance,41.3
1988,1988-01-01,Medical products appliances and equipment,52.1
1988,1988-01-01,Out-patient services:,NA
1988,1988-01-01,Hospital services,NA
1988,1988-01-01,Purchase of vehicles,87.9
1988,1988-01-01,Operation of personal transport equipment,29.2
1988,1988-01-01,Transport services,22.6
1988,1988-01-01,Postal services,25.4
1988,1988-01-01,Audio-visual equipment and related products,742.9
1988,1988-01-01,Other major durables for recreation and culture,NA
1988,1988-01-01,Other recreational items and equipment gardens & pets,93.4
1988,1988-01-01,Recreational and cultural services,32.9
1988,1988-01-01,"Books, newspapers and stationery",37.7
1988,1988-01-01,Package holiday,NA
1988,1988-01-01,Cpi index 10.4 tertiary education,NA
1988,1988-01-01,Catering services,33.2
1988,1988-01-01,Accommodation services,NA
1988,1988-01-01,Personal care,50.4
1988,1988-01-01,Personal effects n.e.c.,68.1
1988,1988-01-01,Social protection,NA
1988,1988-01-01,Insurance,21.3
1988,1988-01-01,Financial services n.e.c.,95.5
1988,1988-01-01,Other services nec,30.3
1988,1988-04-01,Cpi index 00: all items,49.5
1988,1988-04-01,Food,48.9
1988,1988-04-01,Non-alcoholic beverages,47.2
1988,1988-04-01,Alcoholic beverages,55.8
1988,1988-04-01,Tobacco,16.6
1988,1988-04-01,Clothing,207.1
1988,1988-04-01,Footwear including repairs,156.5
1988,1988-04-01,Actual rents for housing,33
1988,1988-04-01,Regular maintenance and repair of the dwelling,40.3
1988,1988-04-01,Water supply and misc. services for the dwelling,23.2
1988,1988-04-01,"Electricity, gas and other fuels",30
1988,1988-04-01,"Furniture, furnishings and carpets",64.4
1988,1988-04-01,Household textiles,122.9
1988,1988-04-01,"Household appliances, fitting and repairs",109.7
1988,1988-04-01,"Glassware, tableware and household utensils",83
1988,1988-04-01,Tools and equipment for house and garden,70
1988,1988-04-01,Goods and services for routine maintenance,41.8
1988,1988-04-01,Medical products appliances and equipment,53
1988,1988-04-01,Out-patient services:,NA
1988,1988-04-01,Hospital services,NA
1988,1988-04-01,Purchase of vehicles,90.5
1988,1988-04-01,Operation of personal transport equipment,29.8
1988,1988-04-01,Transport services,22.8
1988,1988-04-01,Postal services,25.4
1988,1988-04-01,Audio-visual equipment and related products,745.6
1988,1988-04-01,Other major durables for recreation and culture,NA
1988,1988-04-01,Other recreational items and equipment gardens & pets,94.2
1988,1988-04-01,Recreational and cultural services,34.8
1988,1988-04-01,"Books, newspapers and stationery",38.3
1988,1988-04-01,Package holiday,NA
1988,1988-04-01,Cpi index 10.4 tertiary education,NA
1988,1988-04-01,Catering services,33.9
1988,1988-04-01,Accommodation services,NA
1988,1988-04-01,Personal care,51.1
1988,1988-04-01,Personal effects n.e.c.,68
1988,1988-04-01,Social protection,NA
1988,1988-04-01,Insurance,21.5
1988,1988-04-01,Financial services n.e.c.,96
1988,1988-04-01,Other services nec,31
1988,1988-07-01,Cpi index 00: all items,49.9
1988,1988-07-01,Food,48.7
1988,1988-07-01,Non-alcoholic beverages,48.5
1988,1988-07-01,Alcoholic beverages,56.1
1988,1988-07-01,Tobacco,16.6
1988,1988-07-01,Clothing,205.4
1988,1988-07-01,Footwear including repairs,157.2
1988,1988-07-01,Actual rents for housing,33.3
1988,1988-07-01,Regular maintenance and repair of the dwelling,40.9
1988,1988-07-01,Water supply and misc. services for the dwelling,23.2
1988,1988-07-01,"Electricity, gas and other fuels",30.8
1988,1988-07-01,"Furniture, furnishings and carpets",64.5
1988,1988-07-01,Household textiles,122.3
