Year,Date,CPI component,pct_change
1988,1988-01-01,Cpi index 00: all items,48.4
1988,1988-01-01,Food,48.2
1988,1988-01-01,Non-alcoholic beverages,45.5
1988,1988-01-01,Alcoholic beverages,54.3
1988,1988-01-01,Tobacco,16.3
1988,1988-01-01,Clothing,201.2
1988,1988-01-01,Footwear including repairs,153.5
1988,1988-01-01,Actual rents for housing,31.1
1988,1988-01-01,Regular maintenance and repair of the dwelling,39.6
1988,1988-01-01,Water supply and misc. services for the dwelling,21.6
1988,1988-01-01,"Electricity, gas and other fuels",29.3
1988,1988-01-01,"Furniture, furnishings and carpets",62.3
1988,1988-01-01,Household textiles,119.7
1988,1988-01-01,"Household appliances, fitting and repairs",108.1
1988,1988-01-01,"Glassware, tableware and household utensils",81.4
1988,1988-01-01,Tools and equipment for house and garden,69.4
1988,1988-01-01,Goods and services for routine maintenance,41.1
1988,1988-01-01,Medical products appliances and equipment,51.8
1988,1988-01-01,Out-patient services:,NA
1988,1988-01-01,Hospital services,NA
1988,1988-01-01,Purchase of vehicles,87.8
1988,1988-01-01,Operation of personal transport equipment,29.2
1988,1988-01-01,Transport services,22.5
1988,1988-01-01,Postal services,25.4
1988,1988-01-01,Audio-visual equipment and related products,745
1988,1988-01-01,Other major durables for recreation and culture,NA
1988,1988-01-01,Other recreational items and equipment gardens & pets,93
1988,1988-01-01,Recreational and cultural services,32.9
1988,1988-01-01,"Books, newspapers and stationery",37.4
1988,1988-01-01,Package holiday,NA
1988,1988-01-01,Cpi index 10.4 tertiary education,NA
1988,1988-01-01,Catering services,33.1
1988,1988-01-01,Accommodation services,NA
1988,1988-01-01,Personal care,50.3
1988,1988-01-01,Personal effects n.e.c.,68.1
1988,1988-01-01,Social protection,NA
1988,1988-01-01,Insurance,21.3
1988,1988-01-01,Financial services n.e.c.,95.4
1988,1988-01-01,Other services nec,30
1988,1988-02-01,Cpi index 00: all items,48.6
1988,1988-02-01,Food,48.5
1988,1988-02-01,Non-alcoholic beverages,45.9
1988,1988-02-01,Alcoholic beverages,54.7
1988,1988-02-01,Tobacco,16.3
1988,1988-02-01,Clothing,202.6
1988,1988-02-01,Footwear including repairs,154.1
1988,1988-02-01,Actual rents for housing,31.2
1988,1988-02-01,Regular maintenance and repair of the dwelling,39.8
1988,1988-02-01,Water supply and misc. services for the dwelling,21.6
1988,1988-02-01,"Electricity, gas and other fuels",29.2
1988,1988-02-01,"Furniture, furnishings and carpets",62.8
1988,1988-02-01,Household textiles,121.1
1988,1988-02-01,"Household appliances, fitting and repairs",108.4
1988,1988-02-01,"Glassware, tableware and household utensils",81.8
1988,1988-02-01,Tools and equipment for house and garden,69.7
1988,1988-02-01,Goods and services for routine maintenance,41.3
1988,1988-02-01,Medical products appliances and equipment,51.8
1988,1988-02-01,Out-patient services:,NA
1988,1988-02-01,Hospital services,NA
1988,1988-02-01,Purchase of vehicles,87.5
1988,1988-02-01,Operation of personal transport equipment,29.2
1988,1988-02-01,Transport services,22.6
1988,1988-02-01,Postal services,25.4
1988,1988-02-01,Audio-visual equipment and related products,742.9
1988,1988-02-01,Other major durables for recreation and culture,NA
1988,1988-02-01,Other recreational items and equipment gardens & pets,93.6
1988,1988-02-01,Recreational and cultural services,32.9
1988,1988-02-01,"Books, newspapers and stationery",37.8
1988,1988-02-01,Package holiday,NA
1988,1988-02-01,Cpi index 10.4 tertiary education,NA
1988,1988-02-01,Catering services,33.3
1988,1988-02-01,Accommodation services,NA
1988,1988-02-01,Personal care,50.4
1988,1988-02-01,Personal effects n.e.c.,68.3
1988,1988-02-01,Social protection,NA
1988,1988-02-01,Insurance,21.3
1988,1988-02-01,Financial services n.e.c.,95.5
1988,1988-02-01,Other services nec,30.4
1988,1988-03-01,Cpi index 00: all items,48.7
1988,1988-03-01,Food,48.6
1988,1988-03-01,Non-alcoholic beverages,46.2
1988,1988-03-01,Alcoholic beverages,55
1988,1988-03-01,Tobacco,16.3
1988,1988-03-01,Clothing,204.1
1988,1988-03-01,Footwear including repairs,155.7
1988,1988-03-01,Actual rents for housing,31.2
1988,1988-03-01,Regular maintenance and repair of the dwelling,39.9
1988,1988-03-01,Water supply and misc. services for the dwelling,21.6
1988,1988-03-01,"Electricity, gas and other fuels",29.1
1988,1988-03-01,"Furniture, furnishings and carpets",63.7
1988,1988-03-01,Household textiles,122.3
1988,1988-03-01,"Household appliances, fitting and repairs",108.8
1988,1988-03-01,"Glassware, tableware and household utensils",82.1
1988,1988-03-01,Tools and equipment for house and garden,69.9
1988,1988-03-01,Goods and services for routine maintenance,41.5
1988,1988-03-01,Medical products appliances and equipment,52.6
1988,1988-03-01,Out-patient services:,NA
1988,1988-03-01,Hospital services,NA
1988,1988-03-01,Purchase of vehicles,88.5
1988,1988-03-01,Operation of personal transport equipment,29.3
1988,1988-03-01,Transport services,22.6
1988,1988-03-01,Postal services,25.4
1988,1988-03-01,Audio-visual equipment and related products,740.9
1988,1988-03-01,Other major durables for recreation and culture,NA
1988,1988-03-01,Other recreational items and equipment gardens & pets,93.7
1988,1988-03-01,Recreational and cultural services,32.9
1988,1988-03-01,"Books, newspapers and stationery",37.8
1988,1988-03-01,Package holiday,NA
1988,1988-03-01,Cpi index 10.4 tertiary education,NA
1988,1988-03-01,Catering services,33.4
1988,1988-03-01,Accommodation services,NA
1988,1988-03-01,Personal care,50.6
1988,1988-03-01,Personal effects n.e.c.,67.9
1988,1988-03-01,Social protection,NA
1988,1988-03-01,Insurance,21.3
1988,1988-03-01,Financial services n.e.c.,95.7
1988,1988-03-01,Other services nec,30.5
1988,1988-04-01,Cpi index 00: all items,49.3
1988,1988-04-01,Food,48.9
1988,1988-04-01,Non-alcoholic beverages,46.6
1988,1988-04-01,Alcoholic beverages,55.7
1988,1988-04-01,Tobacco,16.6
1988,1988-04-01,Clothing,204.5
1988,1988-04-01,Footwear including repairs,156.2
1988,1988-04-01,Actual rents for housing,32.9
1988,1988-04-01,Regular maintenance and repair of the dwelling,40.2
1988,1988-04-01,Water supply and misc. services for the dwelling,23.2
1988,1988-04-01,"Electricity, gas and other fuels",29.5
1988,1988-04-01,"Furniture, furnishings and carpets",64.1
1988,1988-04-01,Household textiles,122.6
1988,1988-04-01,"Household appliances, fitting and repairs",109.3
